channel_transfer,person_id,onboard_datetime
Facebook Ads,55d6f2be69702d69c2000000,2015-09-21 15:40:11.896
Direct - Paid Search (brand) - Organic Search,56ec0cb907cabc0b8900ad35,2016-03-21 21:52:34.52
Direct - Paid Search (brand) - Organic Search,5711a67f07cabc738d1d9f89,2016-04-25 19:28:48.933
Direct - Paid Search (brand) - Organic Search,56b0dd615301d01a0f3afe60,2016-02-08 17:42:45.994
Facebook Ads,56b79d596c021e284e3eead7,2016-02-11 18:12:52.608
Direct - Paid Search (brand) - Organic Search,569806bc69702d1cec1a1f00,2016-01-18 17:26:30.372
Direct - Paid Search (brand) - Organic Search,56a1153769702d5872d93100,2016-01-22 20:17:39.966
Direct - Paid Search (brand) - Organic Search,56ba26da6c021e3ab22eecdf,2016-02-15 14:15:39.387
Direct - Paid Search (brand) - Organic Search,56b0d3bd5301d075113aff62,2016-02-09 19:18:11.455
Facebook Ads,552b2f8f69702d0a47000000,2015-04-17 21:22:04.458
Direct - Paid Search (brand) - Organic Search,56abc3d369702d2a4dc90200,2016-03-02 17:38:13.719
undefined,56bfa3eaf46b3e36f2340017,2016-02-17 18:58:49.492
Facebook Ads,56d10790a6a4f24cb5f4e4ac,2016-02-29 15:52:56.267
Direct - Paid Search (brand) - Organic Search,56e2ce3207cabc430a92a503,2016-03-14 18:44:29.889
Direct - Paid Search (brand) - Organic Search,56c8e7ef5301d073c438f967,2016-03-03 17:04:02.605
Direct - Paid Search (brand) - Organic Search,56b381485301d0183d88bf43,2016-02-09 16:06:30.697
Facebook Ads,56cbe1b8f46b3e4b665ddde9,2016-02-29 23:42:11.403
Facebook Ads,57195e631450d379a91a98bf,2016-04-26 18:14:14.106
Direct - Paid Search (brand) - Organic Search,56c6bf4f5301d0792b535780,2016-02-24 20:57:56.906
Direct - Paid Search (brand) - Organic Search,56a78a5a69702d02cfe80500,2016-02-01 15:23:40.237
Facebook Ads,56b8dc0b5301d031c034547b,2016-02-12 15:53:25.495
Referral,56ddcc33ea9f775340efd2fc,2016-03-09 14:49:05.924
Facebook Ads,56bea9556c021e7bcf72a453,2016-02-16 21:25:05.928
Direct - Paid Search (brand) - Organic Search,56aeccf46c021e276cc40a3e,2016-02-04 17:51:33.351
Facebook Ads,56a5d42d69702d28d3e20800,2016-02-04 18:25:01.82
Phone,56b8d97ef46b3e683da64af0,2016-02-17 18:44:27.808
Facebook Ads,56ca3f8ef46b3e105b99f235,2016-02-24 16:39:17.742
Direct - Paid Search (brand) - Organic Search,568c81a369702d456e000000,2016-01-15 21:51:17.896
Facebook Ads,56d49913a6a4f262b17b0aa2,2016-03-07 15:12:38.529
Phone,56d0997b8d26031c10bcc9f5,2016-03-07 14:22:03.227
Email - PillPack,56a4215e69702d06e37f2800,2016-02-04 17:14:44.549
Direct - Paid Search (brand) - Organic Search,5709cc3fea9f776106f51bb3,2016-04-13 22:01:34.591
Facebook Ads,56fff5f28d26037939af1fd6,2016-04-25 14:51:39.432
Phone,56f5b04307cabc0e975d3518,2016-03-28 21:37:49.931
Direct - Paid Search (brand) - Organic Search,5520b96169702d7b1b000000,2016-02-29 18:53:17.059
Direct - Paid Search (brand) - Organic Search,56bfb81df46b3e068633ff9f,2016-02-23 19:41:04.822
Facebook Ads,56b6274ff46b3e6f697ee400,2016-02-16 18:24:12.672
Phone,56bb86b95301d0466e332167,2016-02-16 14:01:39.528
Phone,56c724265301d05164536203,2016-02-25 20:00:38.558
Direct - Paid Search (brand) - Organic Search,56bf9cf06c021e101872a4e4,2016-02-19 19:10:16.901
Phone,56bb5edc6c021e496d912fc1,2016-02-17 21:35:18.381
Facebook Ads,56babc30f46b3e696ca630e6,2016-02-12 19:51:27.762
Facebook Ads,55f8b27d69702d3311230000,2015-10-05 20:29:41.296
Facebook Ads,56db4bef07cabc04f531ef13,2016-03-11 15:24:52.939
Phone,56e099c2ea9f775bcd4522f1,2016-03-15 14:16:28.081
Direct - Paid Search (brand) - Organic Search,56b901d65301d01e82345546,2016-02-12 15:10:59.878
Email - PillPack,568d9bd169702d09eddf0400,2016-03-07 15:28:12.132
Email - PillPack,5692dbbd69702d310a040000,2016-02-19 19:01:34.627
Facebook Ads,56fbe8c107cabc64455a33d4,2016-03-31 21:01:09.613
Facebook Ads,56c95f90f46b3e1b6e99f237,2016-02-25 18:35:58.878
Direct - Paid Search (brand) - Organic Search,56def00e07cabc3428d5514c,2016-03-11 17:58:06.976
"Digital (display, video, native, podcast, twitter)",56afe8d25301d051f87ce7a1,2016-02-11 17:12:58.408
undefined,559056e169702d43ad010000,2016-03-03 19:20:11.8
Phone,56d709c5ea9f7719c2e77a85,2016-03-16 14:18:00.457
Direct - Paid Search (brand) - Organic Search,5720042e8d2603497b0db984,2016-05-03 22:02:29.778
Direct - Paid Search (brand) - Organic Search,56b412e0f46b3e5abf34460b,2016-02-09 19:27:55.729
Phone,5717dec107cabc14df01c6c8,2016-04-29 14:39:19.012
Direct - Paid Search (brand) - Organic Search,56ad6a035301d04e01cfd338,2016-02-08 15:20:26.389
Direct - Paid Search (brand) - Organic Search,56c52652f46b3e781324ee42,2016-02-22 21:28:57.959
Phone,56bf6eba6c021e4ba572a469,2016-02-18 22:13:06.233
Direct - Paid Search (brand) - Organic Search,56e63a568d26037f1d6c08e2,2016-03-16 14:21:41.03
Referral,56ed89101450d3656f0d7311,2016-03-21 19:47:54.067
Phone,56f29e048d26034156c691d2,2016-03-25 16:56:07.11
Direct - Paid Search (brand) - Organic Search,5697ee2a69702d29e7fb0900,2016-01-20 23:00:34.204
Direct - Paid Search (brand) - Organic Search,566b721669702d5b6b190000,2015-12-17 15:57:19.97
Facebook Ads,56cb87885301d051e559032d,2016-02-24 17:32:20.894
Phone,56cb66635301d05557590416,2016-02-24 15:10:19.842
Facebook Ads,56529a5a69702d2c5f010000,2015-11-27 21:57:50.073
Facebook Ads,56fbed5ba6a4f21d1aa4efbe,2016-04-06 22:06:21.861
Direct - Paid Search (brand) - Organic Search,56c624dc6c021e7daeecf4ab,2016-02-24 17:33:55.258
Paid Search (non-brand),56d8ae25a6a4f26bce2cb904,2016-03-09 14:54:30.894
Direct - Paid Search (brand) - Organic Search,56255b0269702d647a9e0000,2015-10-26 19:43:12.498
Direct - Paid Search (brand) - Organic Search,565cf3ad69702d516b870000,2015-12-23 16:34:58.196
Direct - Paid Search (brand) - Organic Search,56996dfa69702d7af3220400,2016-01-21 15:12:28.928
Facebook Ads,56cf274607cabc11663f9ec7,2016-02-27 22:14:10.498
Direct - Paid Search (brand) - Organic Search,56d1fd211450d361816c18af,2016-02-29 17:13:51.297
undefined,56c760026c021e32c13a8d7a,2016-03-01 01:09:50.208
"Digital (display, video, native, podcast, twitter)",5697ebe669702d1d06160800,2016-01-18 17:21:21.896
Facebook Ads,56cb9e4d8d26032e68313824,2016-02-25 16:17:10.105
Direct - Paid Search (brand) - Organic Search,5682f93e69702d49dcbe0000,2016-01-12 21:15:34.813
Facebook Ads,572370528d26034a581210b3,2016-05-02 18:21:34.116
Direct - Paid Search (brand) - Organic Search,5670c5a369702d759e1e0000,2015-12-21 19:51:02.526
Facebook Ads,56cce4be6c021e3a5110ec39,2016-02-26 23:01:40.773
Direct - Paid Search (brand) - Organic Search,5675763e69702d6841c60600,2015-12-23 17:32:16.06
Direct - Paid Search (brand) - Organic Search,56e0a203a6a4f2422a86611c,2016-03-18 18:02:27.088
Direct - Paid Search (brand) - Organic Search,5690298969702d2178550000,2016-01-12 20:12:21.437
Facebook Ads,5727d34c8d260334ba861aa4,2016-05-10 16:31:24.305
Direct - Paid Search (brand) - Organic Search,569bbf3669702d4fe9161300,2016-01-27 19:05:30.2
Direct - Paid Search (brand) - Organic Search,568eb3b769702d66d3370000,2016-02-10 19:51:09.42
Facebook Ads,5699dc2a69702d6d69ca0900,2016-01-25 17:11:54.043
Direct - Paid Search (brand) - Organic Search,568ecd0c69702d0304260300,2016-01-15 21:19:03.879
Direct - Paid Search (brand) - Organic Search,558c81f069702d1dad000000,2015-06-26 11:19:36.137
Direct - Paid Search (brand) - Organic Search,55ff22aa69702d7da9010000,2015-10-09 13:36:05.231
Direct - Paid Search (brand) - Organic Search,559f1d0d69702d5b75000000,2015-07-21 14:30:56.227
Direct - Paid Search (brand) - Organic Search,53f92070888f22743300013e,2014-08-25 18:13:04.982
Direct - Paid Search (brand) - Organic Search,563e512969702d640b040000,2015-11-24 21:40:54.959
Facebook Ads,54d5e94669702d391d000000,2015-03-25 20:17:55.47
Direct - Paid Search (brand) - Organic Search,5619af9169702d6480090000,2015-10-15 17:55:02.406
Direct - Paid Search (brand) - Organic Search,562ade1c69702d5eedf10000,2015-11-02 18:25:21.024
Facebook Ads,562a103d69702d2f18000000,2016-01-06 21:46:14.462
Direct - Paid Search (brand) - Organic Search,562afd1869702d2861230100,2015-10-27 18:37:02.945
Referral,550c1c3a69702d14090b0000,2015-03-22 16:07:06.293
Direct - Paid Search (brand) - Organic Search,55c74bfb69702d4a4a020000,2015-08-14 19:32:52.981
Direct - Paid Search (brand) - Organic Search,55fac59b69702d4a92320000,2015-09-29 16:47:05.569
Direct - Paid Search (brand) - Organic Search,5563996169702d396a0d0000,2015-05-29 20:22:42.462
Direct - Paid Search (brand) - Organic Search,55f42d7a69702d5f3b260000,2015-09-21 14:14:27.403
Direct - Paid Search (brand) - Organic Search,541b0795e8b04004980002bb,2014-09-22 23:12:49.708
Direct - Paid Search (brand) - Organic Search,551b30e669702d1400080000,2015-04-02 19:20:41.427
Direct - Paid Search (brand) - Organic Search,56402c8c69702d0dd2080000,2015-11-11 17:36:20.631
Direct - Paid Search (brand) - Organic Search,54ced18069702d5316000000,2015-02-04 20:29:20.934
Direct - Paid Search (brand) - Organic Search,55ac3b2169702d0a5a000000,2015-07-31 16:53:13.612
Direct - Paid Search (brand) - Organic Search,562162ce69702d65bf300000,2015-10-19 17:18:01.857
Direct - Paid Search (brand) - Organic Search,5665ceff69702d5abf7a0200,2015-12-09 17:02:30.769
Direct - Paid Search (brand) - Organic Search,5647d32f69702d7a92070000,2015-11-16 23:13:36.278
Direct - Paid Search (brand) - Organic Search,5532755769702d69be0a0000,2015-04-27 14:45:00.744
Direct - Paid Search (brand) - Organic Search,53a4c5e4293087294d0000a0,2014-06-26 20:44:17.471
Direct - Paid Search (brand) - Organic Search,554067a069702d7d5c000000,2015-05-01 19:43:58.931
Direct - Paid Search (brand) - Organic Search,532242260937feb739000002,2014-03-14 19:43:34.601
Direct - Paid Search (brand) - Organic Search,55a94b5269702d3d04060000,2015-07-29 21:10:52.319
Facebook Ads,55b8512e69702d36c3010000,2015-11-25 15:43:20.099
Direct - Paid Search (brand) - Organic Search,56045e5c69702d609e360000,2015-09-30 17:19:38.151
Direct - Paid Search (brand) - Organic Search,55b9497069702d2b56050000,2015-08-03 16:40:49.225
Direct - Paid Search (brand) - Organic Search,557f930f69702d1c02000000,2015-07-02 20:33:31.267
Direct - Paid Search (brand) - Organic Search,55ef652069702d01c2700000,2015-09-15 18:01:32.375
Direct - Paid Search (brand) - Organic Search,55d35f1669702d687e120000,2015-08-31 16:59:05.595
Direct - Paid Search (brand) - Organic Search,5399da5e888f22a6c5000002,2014-06-13 14:54:16.914
Direct - Paid Search (brand) - Organic Search,562c1b6169702d25289f0200,2015-10-29 20:12:56.995
Direct - Paid Search (brand) - Organic Search,56868ba369702d2993050000,2016-01-04 17:57:17.676
Direct - Paid Search (brand) - Organic Search,55dfbf8b69702d3b701e0000,2015-09-01 21:51:27.334
Direct - Paid Search (brand) - Organic Search,55a3f1a269702d774c070000,2015-07-27 20:03:46.887
Direct - Paid Search (brand) - Organic Search,55db3c9a69702d6ac9060000,2015-08-27 14:59:14.457
Direct - Paid Search (brand) - Organic Search,55d7b0ea69702d20210a0000,2015-09-15 19:41:24.609
Facebook Ads,55d63d6a69702d301a030000,2015-08-28 19:11:25.069
Direct - Paid Search (brand) - Organic Search,55f40bf069702d16d6020000,2015-09-23 17:20:21.194
Direct - Paid Search (brand) - Organic Search,565e56cf69702d39e4010000,2015-12-04 14:58:19.752
Direct - Paid Search (brand) - Organic Search,564f3cd069702d78c5260000,2015-11-27 17:07:33.051
Direct - Paid Search (brand) - Organic Search,5590068169702d51a6080000,2015-07-15 17:10:36.664
Direct - Paid Search (brand) - Organic Search,559d62ee69702d5b010a0000,2015-07-23 16:04:46.719
Direct - Paid Search (brand) - Organic Search,5633d87869702d27652f0000,2015-11-06 13:40:51.7
Direct - Paid Search (brand) - Organic Search,53d672cc888f22b67f0000c8,2014-09-12 18:35:06.309
Direct - Paid Search (brand) - Organic Search,55c8db7369702d2b9d070000,2015-08-18 15:39:21.07
Facebook Ads,562ff7e469702d4ee8190000,2015-11-24 19:37:19.941
Direct - Paid Search (brand) - Organic Search,55ed84b269702d2751460000,2015-09-15 17:13:52.73
Direct - Paid Search (brand) - Organic Search,5592c22869702d1290080000,2015-07-21 20:58:03.255
Facebook Ads,54e37ea269702d21c2010000,2015-02-24 20:51:00.55
Direct - Paid Search (brand) - Organic Search,5521b64369702d1252000000,2015-04-15 15:10:44.058
Direct - Paid Search (brand) - Organic Search,54a7dc7969702d162a000000,2015-01-09 16:44:39.559
Direct - Paid Search (brand) - Organic Search,55afcc2869702d235a060000,2015-08-05 17:49:41.536
Direct - Paid Search (brand) - Organic Search,566eede169702d5b0b580000,2016-01-14 18:38:39.495
Facebook Ads,5638d31769702d6b915f0000,2015-11-06 19:53:33.249
Facebook Ads,561f089c69702d714f000000,2015-10-26 21:22:47.038
Direct - Paid Search (brand) - Organic Search,55d2ade369702d243a000000,2015-08-28 18:05:36.525
Direct - Paid Search (brand) - Organic Search,55e8849869702d15c5020000,2015-09-14 19:21:02.8
Direct - Paid Search (brand) - Organic Search,56510dc669702d7bb7010000,2015-11-24 17:34:38.853
Direct - Paid Search (brand) - Organic Search,5632a6a269702d6afe090000,2015-11-02 19:14:03.996
Facebook Ads,561c16f269702d5f6f150000,2015-10-15 14:48:15.58
Facebook Ads,55bab17269702d16ec070000,2015-08-04 18:55:46.141
Direct - Paid Search (brand) - Organic Search,55e63edd69702d73af130000,2015-09-10 18:42:50.59
Facebook Ads,55a29ac769702d56dc000000,2015-07-17 16:57:33.192
Direct - Paid Search (brand) - Organic Search,56513ee169702d0ef7020000,2015-11-25 19:31:53.055
Direct - Paid Search (brand) - Organic Search,5594650f69702d0ac91e0000,2015-08-07 20:17:40.846
Direct - Paid Search (brand) - Organic Search,5637fd7269702d0f47170000,2015-11-16 15:36:39.412
Direct - Paid Search (brand) - Organic Search,562674e269702d06e7b20000,2015-10-20 19:08:52.004
Direct - Paid Search (brand) - Organic Search,55ecb03769702d3ded030000,2015-09-14 20:21:46.809
Direct - Paid Search (brand) - Organic Search,533710c60937fe5bdb00000b,2014-04-04 12:55:34.675
Facebook Ads,556d962569702d13ea010000,2015-06-29 17:59:08.963
Direct - Paid Search (brand) - Organic Search,559c82b569702d2070030000,2015-08-10 17:57:27.293
Direct - Paid Search (brand) - Organic Search,54514a7fe8b0407f6a000065,2014-12-26 16:44:16.861
Direct - Paid Search (brand) - Organic Search,55365bbd69702d19560d0000,2015-05-02 14:23:15.259
Direct - Paid Search (brand) - Organic Search,564f2e5669702d5bce6b0000,2015-11-23 22:06:48.047
Direct - Paid Search (brand) - Organic Search,558ce47269702d470a000000,2015-07-09 13:17:47.112
Direct - Paid Search (brand) - Organic Search,5592fdc069702d3762030000,2015-07-20 21:17:38.558
Direct - Paid Search (brand) - Organic Search,5571a57e69702d4ef91c0000,2015-06-11 20:22:05.815
Direct - Paid Search (brand) - Organic Search,56592ee469702d3a34060000,2015-12-09 15:45:29.136
Direct - Paid Search (brand) - Organic Search,55f0a92769702d7059850000,2015-09-16 19:14:35.008
"Digital (display, video, native, podcast, twitter)",55f85b9d69702d5f734f0000,2015-10-26 17:40:07.151
Direct - Paid Search (brand) - Organic Search,5598a67f69702d176d000000,2015-07-13 15:42:22.562
Customer Support - Unknown,561d1cb969702d0655dd0000,2015-10-22 15:56:08.029
Direct - Paid Search (brand) - Organic Search,56895b3b69702d687b180000,2016-01-06 16:00:17.506
Facebook Ads,555c7d4f69702d7fe1000000,2015-05-26 12:57:13.22
Direct - Paid Search (brand) - Organic Search,559888ff69702d0c21000000,2015-07-13 17:23:33.236
Direct - Paid Search (brand) - Organic Search,564a89e369702d57be000000,2015-11-18 15:05:34.039
Direct - Paid Search (brand) - Organic Search,5646414769702d7ee52f0000,2015-11-18 17:07:17.379
Direct - Paid Search (brand) - Organic Search,53e013d2888f221eda000021,2014-08-06 22:07:21.32
undefined,54fcbd5569702d1c13020000,2015-03-24 23:55:14.764
Direct - Paid Search (brand) - Organic Search,54f740b869702d4a29050000,2015-04-07 14:53:04.089
Direct - Paid Search (brand) - Organic Search,563920af69702d14cc3e0100,2015-11-05 16:55:57.515
Direct - Paid Search (brand) - Organic Search,55b6a55b69702d5516070000,2015-08-05 21:44:53.139
Facebook Ads,558a18c769702d6675000000,2015-07-20 14:09:35.455
Direct - Paid Search (brand) - Organic Search,55495a3269702d049d030000,2015-05-06 20:20:40.261
Direct - Paid Search (brand) - Organic Search,55df813469702d0622500000,2015-09-03 20:19:58.745
Direct - Paid Search (brand) - Organic Search,55afc23b69702d75b5110000,2015-08-06 16:43:34.173
Direct - Paid Search (brand) - Organic Search,5587375e69702d122b000000,2015-07-03 16:25:45.186
Direct - Paid Search (brand) - Organic Search,55eb937f69702d44ed0e0000,2015-09-17 17:02:02.241
Direct - Paid Search (brand) - Organic Search,54b57df969702d46e1020000,2015-04-16 22:50:50.181
Facebook Ads,55146ae369702d0b7f020000,2015-04-07 21:44:57.584
Direct - Paid Search (brand) - Organic Search,56645b3969702d31fe2a0000,2015-12-07 20:45:39.639
Direct - Paid Search (brand) - Organic Search,54c1c7a069702d4b17010000,2015-01-27 14:22:04.704
Direct - Paid Search (brand) - Organic Search,557db15069702d7767000000,2015-06-27 18:59:53.158
Direct - Paid Search (brand) - Organic Search,5403483e2930877ebf00000c,2014-09-03 16:00:53.327
Direct - Paid Search (brand) - Organic Search,556f772569702d58bc040000,2015-06-09 15:33:38.372
Direct - Paid Search (brand) - Organic Search,55af173269702d3f6c010000,2015-09-25 13:07:43.119
Facebook Ads,54f737ef69702d20310d0000,2015-03-19 18:38:46.765
Direct - Paid Search (brand) - Organic Search,55a9027969702d2dfc000000,2015-07-31 18:49:43.377
Direct - Paid Search (brand) - Organic Search,5613ffe669702d09d63b0000,2015-10-08 20:54:26.477
Facebook Ads,54ade34c69702d6bf9080000,2015-01-21 21:47:57.711
undefined,54aeaaee69702d62660f0000,2015-01-17 15:46:13.391
Direct - Paid Search (brand) - Organic Search,5646cd7369702d5056000000,2015-11-16 19:05:40.158
Direct - Paid Search (brand) - Organic Search,55dc92d969702d77ef000000,2015-08-31 21:45:10.235
Direct - Paid Search (brand) - Organic Search,54c953c569702d0bf6010000,2015-02-24 22:58:55.192
Direct - Paid Search (brand) - Organic Search,56210ab169702d21fc180100,2015-10-19 19:45:23.59
Direct - Paid Search (brand) - Organic Search,555a003669702d2daf0b0000,2015-05-19 19:31:27.214
Direct - Paid Search (brand) - Organic Search,556a290169702d3816010000,2015-06-08 14:24:32.03
Direct - Paid Search (brand) - Organic Search,5590a1d769702d58da000000,2015-07-16 20:34:55.074
Referral,55347b9f69702d3999010000,2015-04-30 20:42:24.215
Direct - Paid Search (brand) - Organic Search,565a470e69702d65b9020000,2015-11-30 18:41:16.122
Direct - Paid Search (brand) - Organic Search,54af26db69702d01aa010000,2015-01-13 20:58:50.411
Direct - Paid Search (brand) - Organic Search,56270e3669702d2717030000,2015-10-30 18:15:24.301
Direct - Paid Search (brand) - Organic Search,55b0084169702d11d7050000,2015-08-06 16:57:27.261
Direct - Paid Search (brand) - Organic Search,552da34369702d32fe0a0000,2015-04-21 20:15:45.87
Direct - Paid Search (brand) - Organic Search,55d68bda69702d2fa1030000,2015-09-30 14:24:25.574
Direct - Paid Search (brand) - Organic Search,5531aa9569702d580a010000,2015-04-20 19:18:09.731
Direct - Paid Search (brand) - Organic Search,54ff398c69702d4ff30e0000,2015-03-16 19:12:17.936
Direct - Paid Search (brand) - Organic Search,55723e6469702d4efb040000,2015-06-12 19:33:36.524
Facebook Ads,554de6c869702d56ca000000,2015-05-12 15:15:25.617
undefined,55e28b3369702d3b030b0000,2015-09-16 16:57:06.489
Direct - Paid Search (brand) - Organic Search,561f2b1769702d79f7010000,2015-10-20 14:35:08.909
Direct - Paid Search (brand) - Organic Search,55d1109469702d3ba1000000,2015-08-25 16:34:57.245
Direct - Paid Search (brand) - Organic Search,55cc027c69702d7e6c030000,2015-08-28 14:51:12.491
Direct - Paid Search (brand) - Organic Search,562ff5a769702d4316360000,2015-11-04 17:06:37.744
Direct - Paid Search (brand) - Organic Search,55ec6da769702d22ba4a0000,2015-09-21 12:54:05.158
Direct - Paid Search (brand) - Organic Search,55d68b3b69702d6430000000,2015-09-25 18:43:33.327
Direct - Paid Search (brand) - Organic Search,55f9e51369702d40a84c0000,2015-10-01 20:23:03.182
Direct - Paid Search (brand) - Organic Search,5696d51469702d2e042f0500,2016-01-27 17:49:08.718
Affiliate,55b0b3fe69702d26ab010000,2015-08-07 16:57:08.621
Direct - Paid Search (brand) - Organic Search,55ac106269702d50bf070000,2015-08-07 19:23:00.374
Facebook Ads,55ad02be69702d01331e0000,2015-07-31 19:57:33.887
Direct - Paid Search (brand) - Organic Search,56140e7269702d28582e0100,2015-10-07 13:44:46.254
Direct - Paid Search (brand) - Organic Search,565f545e69702d4bc71f0100,2015-12-03 22:43:02.44
Facebook Ads,559053bc69702d33c9000000,2015-07-28 19:42:29.707
Direct - Paid Search (brand) - Organic Search,55d48b3769702d29450b0000,2015-08-27 17:34:45.737
undefined,553a419f69702d5bc0000000,2015-07-30 17:42:27.852
Direct - Paid Search (brand) - Organic Search,544d3ba5e8b040346e00039e,2014-11-03 14:56:42.373
Direct - Paid Search (brand) - Organic Search,559bd40c69702d0467020000,2015-07-14 22:00:39.316
Direct - Paid Search (brand) - Organic Search,559ef61269702d37da030000,2015-07-13 20:26:50.832
Direct - Paid Search (brand) - Organic Search,5521af4c69702d6455080000,2015-04-15 20:37:02.498
Direct - Paid Search (brand) - Organic Search,564e8d4b69702d3337020000,2015-11-30 15:36:07.051
Direct - Paid Search (brand) - Organic Search,5522d87969702d11dd0d0000,2015-04-08 19:43:08.201
Email - PillPack,55ff0b7e69702d44c8330000,2015-09-30 16:23:12.759
Direct - Paid Search (brand) - Organic Search,5511f39a69702d1608060000,2015-10-01 18:47:37.041
undefined,557762c869702d2ff7050000,2015-07-01 16:21:18.401
